slug	rank	id	score	name	rakuten_url	price	score_reason
camp-rainwear	5	rw-makku-as900	3	レインウェア カッパ レインコート 上下セット MAKKUマック レイントラックジャケット＆パンツ AS-900 AS-950 レディースサイズ有り おしゃれ 雨ガッパ 通学 通勤 自転車 バイク 釣り レインスーツ 雨がっぱ 合羽 アウトドア キャンプ 散歩	https://item.rakuten.co.jp/kanamono-no1/rain300/	5050	型番+3(AS-900) 複数型番-2(AS-900/AS-950) ブランド+2(makku)
camp-windscreen	4	windscreen-onetigris-tc	3	OneTigris ポリコットンTC 陣幕 前幕	https://item.rakuten.co.jp/onetigris/ce-qzm01-rg/	8390	ブランド+2(onetigris) 公式店+1(onetigris)
coleman-bonfire	4	coleman-firedisk-table	3	コールマン 焚き火台 セット ファイアーディスク+マルチファイアプレイステーブル 2000031235+VP160401J01	https://item.rakuten.co.jp/himaraya/000669346set5/	14077	型番+3(VP160401J01) セット品-2 ブランド+2(coleman)
coleman-two-burner	1	cb-coleman-set-table	3	コールマン ツーバーナーセット ツーバーナーストーブ 2+キッチンテーブル+純正LPガス燃料×2点 2000006707+2000031294+5103A470T Coleman	https://item.rakuten.co.jp/himaraya/000322553set1/	27848	型番+3(5103A470T) セット品-2 ブランド+2(coleman)
coleman-two-burner	2	cb-coleman-powerhouse-gasset	3	コールマン ツーバーナーセット パワーハウス LP ツーバーナーストーブ 2 + 純正LPガス燃料[Tタイプ]470g×2個 2000006707 + 5103A470TJAN Coleman	https://item.rakuten.co.jp/himaraya/0000322553set/	15707	型番+3(5103A470TJAN) セット品-2 ブランド+2(coleman)
coleman-two-burner	4	cb-coleman-red-gasset	3	コールマン ツーバーナーセット LPツーバーナーストーブレッド 純正LPガス燃料[Tタイプ]470g×2個 2000021950+5103A470T Coleman	https://item.rakuten.co.jp/himaraya/0000563892set/	14460	型番+3(5103A470T) セット品-2 ブランド+2(coleman)
compact-portable-power	3	bluetti-eb3a	3	BLUETTI EB3A 268Wh（130Wソーラーパネルセット）	https://item.rakuten.co.jp/bluettijapan/copybluettijapan_eb3a_b/	32900	ブランド+2(bluetti) 公式店+1(bluettijapan)
disaster-radio	4	greeshow-radio	3	Greeshow 防災ラジオ XLN-383（手回し＋ソーラー＋USB・生活防水）	https://item.rakuten.co.jp/keynice/xln-383/	3980	型番+3(XLN-383)
family-camp-tent	2	tent-f-rank-2	3	BODEN（ボーデン）RATELWORKS ラーテルワークス キャンプ ファミリーキャンプ テント 2ルームテント ツールームテント ドームテント ドーム型テント ファミリーテント (RWS0111)	https://item.rakuten.co.jp/marueidanboru/rws0111/	129800	型番+3(RWS0111)
fireproof-gloves	2	fg-zencamps	3	ZEN Camps 耐熱 手袋 グローブ 耐熱グローブ キャンプグローブ 焚き火グローブ 革手袋 作業手袋 耐火グローブ キャンプ アウトドア BBQ 焚き火 耐熱性	https://item.rakuten.co.jp/zen-camps/camping-glove/	3280	ブランド+2(zencamps) 公式店+1(zen-camps)
group-camp-table	1	rattan-garden-table-180	3	ラタン調 ガーデンテーブル 180cm アウトドアテーブル ダイニングテーブル ガーデン テーブル 折り畳み式 頑丈 大型180cm 防水 長テーブル ガーデンファニチャー 外テーブル ###ラタン机F002R###	https://item.rakuten.co.jp/otakaratuuhan/tz182/	6980	型番+3(F002R)
group-camp-table	4	folding-table-180x70	3	折りたたみテーブル 折りたたみベンチ 180cm アウトドアテーブル 折りたたみ 頑丈 大型 幅180×奥行70cm ガーデンテーブル ガーデン テーブル アウトドア ###机KM-F002###	https://item.rakuten.co.jp/otakaratuuhan/10005450/	5980	型番+3(KM-F002)
hexa-tarp	3	vastland-tc-hexa	3	VASTLAND TCヘキサタープ 420cm×420cm ポリコットン 難燃素材 ポール ペグ 自在ロープ 延長ベルト 収納袋付き オールインワンセット	https://item.rakuten.co.jp/vastland/vl0267-1/	15980	ブランド+2(vastland) 公式店+1(vastland)
hot-sandwich-maker	3	vastland-hsm-tsubame	3	VASTLAND ホットサンドメーカー シングル 直火式 燕三条製	https://item.rakuten.co.jp/vastland/vl0112-1/	2980	ブランド+2(vastland) 公式店+1(vastland)
hot-water-bottle	2	hagoogi-lxe01	3	Hagoogi 充電式湯たんぽ LXE-01（蓄熱式・4〜12H保温）	https://item.rakuten.co.jp/hagoogi/lxe-01/	2980	型番+3(LXE-01)
hot-water-bottle	4	mottole-mtlw001	3	mottole 充電式湯たんぽ MTL-W001（やわらかカバー付き）	https://item.rakuten.co.jp/mottole-shop/mtl-w001/	3070	型番+3(MTL-W001)
lantern-stand	2	vastland-stand	3	VASTLAND ランタンスタンド ランタンハンガー 高さ75cm〜215cm アルミ製 収納バッグ付き	https://item.rakuten.co.jp/vastland/2019-0202-1/	3780	ブランド+2(vastland) 公式店+1(vastland)
mountain-tent-cheap	3	naturehike-solo-tent	3	【SS先行セール！いち早くゲット！】 Naturehike テント ハイキング 1人用 20D ソロキャンプ 耐水圧3000/4000mm 超軽量 二重層 ダブルウォール 前室 プロフェッショナルテント コンパクト 自立式 アウトドア 登山 キャンピング 防災 設営簡単	https://item.rakuten.co.jp/naturehike-direct/nh18t010-t-3/	16990	ブランド+2(naturehike) 公式店+1(naturehike-direct)
naturehike-mat	1	naturehike-highr-air	3	Naturehike 高R値 エアーマット R4.6/R5.8/R8.8 厚手8cm/12cm 超軽量 連接可能 インフレーターマット	https://item.rakuten.co.jp/naturehike-direct/cnh22dz016-ty58y/	12490	ブランド+2(naturehike) 公式店+1(naturehike-direct)
naturehike-mat	3	naturehike-r65	3	Naturehike 高R値 エアーマット R6.5 サイドウォール 厚手10cm -25℃使用可能 空気入れ袋付き	https://item.rakuten.co.jp/naturehike-direct/cnk2450ws038/	19990	ブランド+2(naturehike) 公式店+1(naturehike-direct)
naturehike-mat	4	naturehike-airbed-electric	3	Naturehike 電動エアーベッド エアーマット 自動膨張 1/2/3人用 電動ポンプ USB充電式 折り畳み	https://item.rakuten.co.jp/naturehike-direct/cnh23dz10001/	7990	ブランド+2(naturehike) 公式店+1(naturehike-direct)
naturehike-tent	2	nh-light-1-2p	3	Naturehike 軽量テント 1〜2人用 20D ナイロン 耐水圧4000mm 前室あり 専用グランドシート付 アルミポール	https://item.rakuten.co.jp/naturehike-direct/nh17t140-j/	11992	ブランド+2(naturehike) 公式店+1(naturehike-direct)
one-pole-tent	3	waq-alpha-tc	3	WAQ Alpha TC アルファ TC ソロテント ティピテント シェルター 1年保証	https://item.rakuten.co.jp/waqoutdoor/waq-tct1/	17980	ブランド+2(waq) 公式店+1(waqoutdoor)
outdoor-coffee-mill	5	mill-atlas	3	アトラス コーヒーミル セラミック臼式 ACG	https://item.rakuten.co.jp/atlas-online/acg/	1998	ブランド+2(atlas) 公式店+1(atlas-online)
stylish-camp-tent	1	tent-s-rank-1	3	5/6まで延長63%0FF！＼アレンジ自由自在の秘密基地／ GIMMICK (ギミック) パップテント m8 GM-TT3000 テント キャンプ アウトドア	https://item.rakuten.co.jp/axes0317/gm-tt3000/	20000	型番+3(GM-TT3000)
tarp-pole	1	vastland-pole-33	3	VASTLAND タープポール テントポール アルミ 2本セット 280cm 直径33mm 8段階調節 収納バッグ付き	https://item.rakuten.co.jp/vastland/vl0025-1/	6480	ブランド+2(vastland) 公式店+1(vastland)
tc-tarp-takibi	2	vastland-tc-recta-l	3	VASTLAND TCレクタタープ スクエア型 Lサイズ 500cm×500cm	https://item.rakuten.co.jp/vastland/vl0300-1/	19980	ブランド+2(vastland) 公式店+1(vastland)
trekking-pole	4	thebestday-alumi-pole	3	TheBestDay A7075アルミ トレッキングポール 260g 2本セット	https://item.rakuten.co.jp/bestday/tbd-035955/	4980	型番+3(A7075)
waq-chair	3	waq-rlc1hb	3	WAQ リクライニングローチェア ハイバック WAQ-RLC1HB アイアン ドリンクホルダー付き	https://item.rakuten.co.jp/waqoutdoor/waq-rlc1hb/	9980	ブランド+2(waq) 公式店+1(waqoutdoor)
waq-chair	4	waq-rcc1	3	WAQ リラクシング コンフォートチェア リクライニングチェア 無段階調整 ハイタイプ ハイバック	https://item.rakuten.co.jp/waqoutdoor/waq-rcc1/	12800	ブランド+2(waq) 公式店+1(waqoutdoor)
waq-chair	5	waq-rlc2	3	WAQ リクライニングローチェア 2脚セット WAQ-RLC2 アイアン ドリンクホルダー付き	https://item.rakuten.co.jp/waqoutdoor/waq-rlc2/	17460	ブランド+2(waq) 公式店+1(waqoutdoor)
water-jug	3	wj-vastland	3	VASTLAND アイスコンテナ 1.9L 3.8L キャンプ用 氷入れ 水筒 保冷 真空断熱	https://item.rakuten.co.jp/vastland/vl0453-1/	3980	ブランド+2(vastland) 公式店+1(vastland)
attack-pack	1	karrimor-tatra20	2	カリマー タトラ20 KARRIMOR tatra20 501212 20L 腰ベルト付き ユニセックス	https://item.rakuten.co.jp/canpanera/k03014/	14850	ブランド+2(karrimor)
attack-pack	4	gregory-daypack-26l	2	グレゴリー デイパック DAY PACK 26L ブラック 12601 ユニセックス	https://item.rakuten.co.jp/glv/gre-0007-000/	15299	ブランド+2(gregory)
attack-pack	5	karrimor-cadet20	2	カリマー カデット20 KARRIMOR cadet20 501213 20L レディース・ジュニア向け	https://item.rakuten.co.jp/canpanera/k03199/	8800	ブランド+2(karrimor)
camp-air-pump	2	fielddoor-air-pump	2	FIELDOOR USB充電 携帯エアーポンプ 超小型 1400mAh	https://item.rakuten.co.jp/maxshare/a12403/	2970	ブランド+2(fieldoor)
camp-blanket	4	blanket-rank-4	2	Hilander(ハイランダー) 難燃ブランケット ハーフ グレー	https://item.rakuten.co.jp/naturum/7000394/	3580	ブランド+2(hilander)
camp-gift	4	gift-thermal-bottle	2	サーモス 水筒 2wayコップ付き 600/800ml	https://item.rakuten.co.jp/livingut/4580244681396/	4700	ブランド+2(thermos)
camp-grill-plate	1	grill-zeoor	2	【レビューを書いて500円OFFクーポン】 ZEOOR ゼオール グリルプレートスタンドM キャンプ バーベキュー アウトドア用品 ロゴス 焚き火台 LOGOS the ピラミッドTAKIBI M 専用 鉄板 五徳 焚火台 焚火 焚き火 ロストル 焼肉 炭火コンロ バーベキューグリル 焼き網	https://item.rakuten.co.jp/auc-teppan-hiroba/lo20-51/	4070	ブランド+2(logos)
coleman-sleeping-bag	4	coleman-sb-cozy2-set	2	コールマン 封筒型シュラフ コージーII/C5 オレンジ セット 2000034772 Coleman	https://item.rakuten.co.jp/himaraya/000846756set1/	12884	ブランド+2(coleman)
coleman-sleeping-bag	5	coleman-sb-northrim	2	【Coleman】コールマン ノースリム 寝袋 マミー型 シュラフ 大人用（グレー／ブラック／オレンジ／グリーン）	https://item.rakuten.co.jp/caramelcafe/cot1103goods032f-/	10780	ブランド+2(coleman)
cooler-box-day-camp	4	cool-rank-4	2	スプリングセール LOGOS/ロゴス 37411001 スタンダード トートリュック クーラー XL ブラック アウトドア キャンプ ピクニック ショッピング レジャー 保冷バッグ クーラーリュック ファミリー 保冷力抜群 デイキャンプ あす楽対応 お買い物マラソン 開催	https://item.rakuten.co.jp/auc-ainetshop/92442/	4092	ブランド+2(logos)
day-camp-cooler-box	3	cooler-rank-3	2	LOGOS ロゴス クーラーボックス 9L 小型 ハード 保冷 ミニクーラー アウトドア キャンプ バーベキュー ピクニック 釣り 運動会 ソロキャンプ デイキャンプ 軽量 コンパクト 81448054	https://item.rakuten.co.jp/baronessod/81448054/	4800	ブランド+2(logos)
family-camp-cot	2	logos-comfort-bed	2	ロゴス Tradcanvas コンフォートベッド 73173089 フォールディングコット	https://item.rakuten.co.jp/auc-ainetshop/71297/	13365	ブランド+2(logos)
group-camp-tent	5	tent-rank-5	2	【楽天1位】テント 4人用 ドームテント 大型 5人用 6人用 キャンプテント UVカット キャノピー ポール 付 耐水圧 1,500mm以上 キャノピーテント フルクローズテント テント メッシュ 日よけ 組み立て式 FIELDOOR 1年保証 ★[送料無料]	https://item.rakuten.co.jp/smile88/a13380/	17600	ブランド+2(fieldoor)
hanging-rack	1	fielddoor-hanger-m	2	FIELDOOR アウトドア ハンガーラック Mサイズ 超々ジュラルミン 軽量アルミ 折りたたみ 収納バッグ付き	https://item.rakuten.co.jp/maxshare/a15359/	4950	ブランド+2(fieldoor)
hexa-tarp	2	fieldoor-hexa-m	2	FIELDOOR タープテント ヘキサタープ Mサイズ 440cm×470cm 六角形 UVカット 高耐水 4〜6人用	https://item.rakuten.co.jp/maxshare/a12038/	4510	ブランド+2(fieldoor)
hexa-tarp	4	fieldoor-hexa-l	2	FIELDOOR タープテント ヘキサタープ Lサイズ 530cm×570cm 六角形 UVカット 高耐水 6〜8人用	https://item.rakuten.co.jp/smile88/a12040/	5940	ブランド+2(fieldoor)
large-tarp-recommend	2	fielddoor-onetouch-3x3	2	FIELDOOR ワンタッチタープテント 3m×3m 頑丈スチールフレーム UVカット 撥水 日よけ 1年保証	https://item.rakuten.co.jp/maxshare/a04309_sale/	8800	ブランド+2(fieldoor)
large-tarp-recommend	4	fielddoor-hexa-l	2	FIELDOOR ヘキサタープ 大型 Lサイズ 530cm×570cm UVカット 高耐水 6〜8人用 ヘキサゴンタープ	https://item.rakuten.co.jp/smile88/a12040/	5940	ブランド+2(fieldoor)
logos-sleeping-bag	5	logos-soft-warm	2	LOGOS ロゴス 丸洗いやわらか あったかシュラフ 夏用 冬用 オールシーズン 封筒型 連結可能	https://item.rakuten.co.jp/a-price/4981325534561/	9300	ブランド+2(logos)
mountain-camp-mat	2	mat-rank-2	2	キャンプ マット キャンプ用品 [ アルミコーティングで熱を逃がさない オールシーズン使えるリバーシブル 凹凸で体圧を分散 ] テント アウトドア マット レジャーマット 寝袋 マット 防災 グッズ アウトドアマット 登山 登山用品 登山グッズ LAD WEATHER ラドウェザー	https://item.rakuten.co.jp/vanilla-vague/ladsheet006/	2280	ブランド+2(ladweather)
mountain-tent-cheap	1	fieldoor-dome100	2	【楽天1位】テント ソロテント フィールドキャンプドーム 100 1人用 210x105cm 軽量 コンパクト収納 36x16cm 前室 メッシュ フライシート インナーテント ダブルウォール キャノピー ツーリング ドームテント アウトドア FIELDOOR 1年保証 ■[送料無料]	https://item.rakuten.co.jp/smile88/a18495/	8250	ブランド+2(fieldoor)
mummy-sleeping-bag	1	bearsrock-15	2	Bears Rock -15度 マミー型 洗える寝袋 丸洗い センタージッパー 4シーズン対応 冬用	https://item.rakuten.co.jp/gorilla55/fx-405/	10350	ブランド+2(bearsrock)
nanga-down-jacket	1	nanga-hinoc-limhood	2	NANGA（ナンガ） 別注HINOC ヒノック リムフード ダウンジャケット カーキ 2026年モデル 日本製	https://item.rakuten.co.jp/rococostore/010900-2-06/	64900	ブランド+2(nanga)
nanga-down-jacket	3	nanga-whitelabel-cardigan	2	NANGA WHITE LABEL（ナンガ ホワイトレーベル） ダウンカーディガン JET BLACK 別注 900FP グースダウン	https://item.rakuten.co.jp/moonloid/nwl-0005/	47300	ブランド+2(nanga)
nanga-down-jacket	4	nanga-whitelabel-type1	2	NANGA WHITE LABEL（ナンガ ホワイトレーベル） 最強ダウンジャケット タイプ1 JET BLACK 別注	https://item.rakuten.co.jp/moonloid/nwl-0001/	137500	ブランド+2(nanga)
one-touch-tent	1	fielddoor-onetouch-200	2	FIELDOOR ワンタッチテント 200cm 2〜4人用 遮光・遮熱UVカット スクエア型	https://item.rakuten.co.jp/maxshare/max-a09177/	7920	ブランド+2(fieldoor)
one-touch-tent	3	fielddoor-onetouch-hexagon	2	FIELDOOR ワンタッチテント ヘキサゴン型 3m×2.5m 4〜5人用 完全遮光	https://item.rakuten.co.jp/maxshare/a07578/	11990	ブランド+2(fieldoor)
outdoor-wagon	4	fieldoor-wagon	2	FIELDOOR アウトドアワゴン	https://item.rakuten.co.jp/smile88/a14444/	8910	ブランド+2(fieldoor)
pup-tent	3	soomloom-pup-tc	2	SoomLoom パップテント ノーマル/ビッグサイズ 軍幕 TC素材 ポリコットン ソロテント 防風防雨	https://item.rakuten.co.jp/yiprefer/outdoor-0640102/	8400	ブランド+2(soomloom)
screen-tarp	2	st-fieldoor-ot	2	【楽天1位】FIELDOOR テント スクリーンタープ スクリーンテント ワンタッチ 幅285×奥行285cm 日よけ ドームテント タープテント タープ キャノピー ポール2本付き 日よけテント 虫よけ 蚊帳 メッシュ 大型 サンシェード 組み立て 簡単 1年保証 ★[送料無料]	https://item.rakuten.co.jp/maxshare/a11938/	13860	ブランド+2(fieldoor)
stove-fan	2	fieldoor-5blade-16cm	2	FIELDOOR ストーブファン 5枚羽根 直径約16cm	https://item.rakuten.co.jp/maxshare/a08438/	4510	ブランド+2(fieldoor)
tarp-pole	2	fielddoor-pole-28	2	FIELDOOR アルミ製テントポール タープポール 2本セット 直径28mm 高さ89〜230cm スライド伸縮式 無段階調整	https://item.rakuten.co.jp/smile88/a18851/	3300	ブランド+2(fieldoor)
tarp-pole	3	soomloom-pole-28	2	Soomloom タープポール テントポール アルミ製 2本セット 直径28mm 高さ60〜240cm 4段階調整 ビッグタープ対応	https://item.rakuten.co.jp/yiprefer/outdoor-012/	4464	ブランド+2(soomloom)
tarp-pole	4	fielddoor-pole-32	2	FIELDOOR アルミ製テントポール タープポール 2本セット 直径32mm 高さ80〜250cm スライド伸縮式 無段階調整	https://item.rakuten.co.jp/smile88/a13774/	3960	ブランド+2(fieldoor)
winter-camp-gloves	5	lad-weather-alt	2	ラドウェザー LAD WEATHER 完全防水 3M高級中綿 手袋 スマートフォン対応 すべり止め	https://item.rakuten.co.jp/emix/ladgloves009/	1480	ブランド+2(ladweather)
winter-camp-guide	12	wg-thermal-bottle	2	サーモス 水筒 2wayコップ付き 600/800ml	https://item.rakuten.co.jp/livingut/4580244681396/	4700	ブランド+2(thermos)
mestin-recommend	5	mr250-mestin-set	1	MR-250 Pro+ メスティン All in1セット レギュラー バリ取り済 湯切り穴 目盛付 5点セット シルバー	https://item.rakuten.co.jp/ohstore/2b61kqcpr6/	2880	型番+3(MR-250) セット品-2
coleman-bonfire	3	coleman-firedisk-sheet	0	コールマン 焚き火台 2点セット ファイアーディスク+ファイアープレイスシート 2000031235+2000037303	https://item.rakuten.co.jp/himaraya/000669346set2/	9690	セット品-2 ブランド+2(coleman)
day-camp-starter-set	1	starter-rank-1	0	【楽天1位】キャンプ お買い得 4点セット （ファミリーテント+タープ+シート+ポール） 4人〜6人用 大型 キャンプテント ドームテント キャノピーテント フルクローズ 組み立て簡単 入門 初心者 エントリー アウトドア キャンプ FIELDOOR 1年保証 ■[送料無料]	https://item.rakuten.co.jp/smile88/a18347/	27830	セット品-2 ブランド+2(fieldoor)
day-camp-starter-set	2	starter-rank-2	0	キャンプ お買い得 4点セット （ファミリーテント+タープ+シート+ポール） 4人〜6人用 大型 キャンプテント ドームテント キャノピーテント フルクローズテント テント 組み立て簡単 入門 初心者 エントリー アウトドア キャンプ FIELDOOR ●[送料無料]	https://item.rakuten.co.jp/happy11/a18347/	27830	セット品-2 ブランド+2(fieldoor)
gas-lantern	1	gaslantern-rank-1	0	Coleman(コールマン) 2500ノーススターLPガスランタン 最大1543ルーメン+ガス燃料+マントル【お得な3点セット】 レッド 2000015521	https://item.rakuten.co.jp/naturum/2570772/	11342	セット品-2 ブランド+2(coleman)
alcohol-stove	3	al-gotoku-set	-3	アルコールストーブ 五徳セット（収納袋付き）	https://item.rakuten.co.jp/umbrelland/co768/	1880	汎用語のみ-3
alcohol-stove	4	al-bottle-set	-3	アルコールストーブ バーナー（燃料ボトル付き）	https://item.rakuten.co.jp/suports-kuiyouo/skittle1/	1390	汎用語のみ-3
backpack-large	1	tousen-40-60l	-3	tousen 登山リュック 40〜60L 大容量 バックパック 防水 軽量 多機能 キャンプ用リュック	https://item.rakuten.co.jp/tousenmizumoto/c-666-1/	3852	汎用語のみ-3
backpack-large	2	tousen-65l	-3	tousen 登山リュック 65L 大容量 防災リュック バックパック 防水 軽量 多機能	https://item.rakuten.co.jp/tousenmizumoto/c-666/	3680	汎用語のみ-3
backpack-large	4	kuriaafew-65l	-3	登山リュック 65L 大容量 防水 軽量 多機能 トレッキング キャンプ用リュック 防災バッグ	https://item.rakuten.co.jp/kuriaafew/as-bag818/	3980	汎用語のみ-3
backpack-rain-cover	1	lama-raincover-2set	-3	LAMA Store リュックカバー 2枚セット 耐水圧3500mm	https://item.rakuten.co.jp/la-ma/a100009/	1380	汎用語のみ-3
backpack-rain-cover	2	hachihachi-raincover-l	-3	八八爽快 ザックカバー Lサイズ（40L対応）収納袋付き	https://item.rakuten.co.jp/88so-kai/100878/	1080	汎用語のみ-3
backpack-rain-cover	3	reverb-raincover-big	-3	リバーブセレクト ザックカバー ビッグサイズ（50L以上・1年保証）	https://item.rakuten.co.jp/travel-depart/outdoor-7/	1580	汎用語のみ-3
backpack-rain-cover	4	daichu-raincover-allrange	-3	雑貨ストアDAICHU リュックカバー 15L〜100L対応	https://item.rakuten.co.jp/nagapo/20230207-backpack-cover/	1000	汎用語のみ-3
backpack-rain-cover	5	mthappy-raincover-compact	-3	Mt.happy 無地カバー Sサイズ（20〜30L対応）	https://item.rakuten.co.jp/mthappy/0003-012/	690	汎用語のみ-3
bonfire-stand-solo	3	mysticridge-solo-takibi	-3	焚火台 コンパクト ソロ 折りたたみ式 ステンレス ミニ 五徳付き 軽量（Mystic Ridge）	https://item.rakuten.co.jp/mystic-r/takibi1/	2980	汎用語のみ-3
bonfire-tripod	1	civillife-tripod-alu	-3	Civil Life トライポッド 焚き火三脚 アルミ製（ブラック／シルバー）	https://item.rakuten.co.jp/civil-life/j-0630-1/	1480	汎用語のみ-3
bonfire-tripod	3	fukulife-tripod-25kg	-3	トライポッド ファイヤースタンド 耐荷重25kg（7段階高さ調節・収納袋付き）	https://item.rakuten.co.jp/fukulife/190265/	4290	汎用語のみ-3
bonfire-tripod	5	patri-tripod-handy	-3	トライポッド ハンディ バーベキューコンロ（三脚・吊り下げ式）	https://item.rakuten.co.jp/patri/ad137/	1580	汎用語のみ-3
camp-air-pump	1	flextail-tiny-pump-x	-3	FLEXTAIL タイニーポンプX ランタン付き	https://item.rakuten.co.jp/esports/6000000019186/	3980	汎用語のみ-3
camp-air-pump	4	flextail-max-pump-2-pro	-3	FLEXTAIL マックスポンプ2プロ Max Pump 2 Pro	https://item.rakuten.co.jp/esports/6000000019183/	3480	汎用語のみ-3
camp-blanket	5	blanket-rank-5	-3	南米産アルパカ ウールブランケット 110×190cm（柄3）	https://item.rakuten.co.jp/camplus/blanket1/	13800	汎用語のみ-3
camp-coffee-dripper	2	stainless-mesh-dripper	-3	ステンレス製 メッシュ二重構造 ペーパーレスドリッパー	https://item.rakuten.co.jp/longlife-global/cd21761/	1980	汎用語のみ-3
camp-coffee-dripper	4	thin-stainless-filter	-3	折りたためる薄型ステンレス コーヒーフィルター	https://item.rakuten.co.jp/kurazo/coffeefilter01/	1000	汎用語のみ-3
camp-coffee-dripper	5	fold-stainless-stand	-3	折りたたみ ステンレス コーヒードリッパースタンド R.A.N.	https://item.rakuten.co.jp/soho-accessories/sy-drp-sus-049-1/	1980	汎用語のみ-3
camp-cooler-soft	2	soft-cooler-30l	-3	ソフトクーラーボックス 30L 5層断熱 3WAY 折りたたみ コンパクト 軽量 保冷バッグ	https://item.rakuten.co.jp/shop-west/coolb30l/	3980	汎用語のみ-3
camp-cooler-soft	4	soft-cooler-40l	-3	40L ソフトクーラーボックス 底板付き 900Dクーラーバッグ 多層断熱 撥水 折りたたみ 軽量	https://item.rakuten.co.jp/goodgoods-center/40lkurabox/	4980	汎用語のみ-3
camp-cooler-soft	5	square-soft-9l	-3	スクエア型 ソフトクーラーボックス 9L 保冷バッグ ランチバッグ 折りたたみ 軽量 コンパクト	https://item.rakuten.co.jp/macks-i/coolerbag-square-01/	2180	汎用語のみ-3
camp-cutlery	2	cl-stainless-set	-3	ステンレス カトラリーセット（楽天1位）	https://item.rakuten.co.jp/jstudio/10000105/	1980	汎用語のみ-3
camp-cutlery	4	cl-tritan-fork	-3	トライタン製 折れないフォーク 5本組	https://item.rakuten.co.jp/waabbit/fork_4p/	1980	汎用語のみ-3
camp-dust-stand	3	southlight-trashbox-60l	-3	South Light トラッシュボックス ポップアップ キャンプ用ゴミ箱 60L 蓋付き	https://item.rakuten.co.jp/nihontaro/mzk-ot0003/	4380	汎用語のみ-3
camp-dust-stand	4	trashbox-30l	-3	トラッシュボックス 30L アウトドア ゴミ箱 折りたたみ ポップアップ式 蓋付き	https://item.rakuten.co.jp/selectshop-one/gg084/	1980	汎用語のみ-3
camp-dust-stand	5	trashbox-90l	-3	ゴミ箱 折りたたみ 90L トラッシュボックス アウトドア 大容量 ポップアップ式 分別	https://item.rakuten.co.jp/selectshop-one/gg087/	2480	汎用語のみ-3
camp-electric-heater	4	atrise-panel-heater	-3	atRise パネルヒーター 折りたたみ式 160W ブランケット・リモコン付き	https://item.rakuten.co.jp/auc-risecreation/y0721/	7980	汎用語のみ-3
camp-electric-heater	5	moderndeco-ceramic	-3	モダンデコ セラミックファンヒーター 人感センサー付き 600W/1200W切替 2.3kg	https://item.rakuten.co.jp/dondon/mdht-001/	5999	汎用語のみ-3
camp-fan-summer	1	fan-soppy	-3	充電式扇風機 卓上 吊り下げ サーキュレーター コードレス アウトドア扇風機 静音 強力送風 キャンプ 20000mAh大容量 自動首振り 風量最大100段階 LEDライト タイマー 車中泊	https://item.rakuten.co.jp/soppy/j302171/	5280	汎用語のみ-3
