ファイル	slug	rank	商品名	Amazon商品URL	判定	アフィリエイトURL
batch3	camp-sleeping-mat	1	インフレーターマット 8/10cm 枕付き 幅75cm 自動膨張式	https://www.amazon.co.jp/dp/B0GSZPSH57	一致	https://amzn.to/44pfNzd
batch3	camp-sleeping-mat	2	Bears Rock 自動膨張式 キャンプマット 5cm 枕付き MT-105F	https://www.amazon.co.jp/dp/B085TD65KT	一致	https://amzn.to/4bFIFXE
batch3	camp-sleeping-mat	3	コールマン キャンパーインフレーターマットハイピーク ダブル 2000036154	https://www.amazon.co.jp/dp/B07YWXNN8Z	一致	https://amzn.to/4eWrpQc
batch3	camp-sleeping-mat	4	FIELDOOR クッションマット 180cm×60cm 厚さ2cm ディンプル加工	https://www.amazon.co.jp/dp/B0DL9L8G1Y	一致	https://amzn.to/4gC5DTc
batch3	camp-sleeping-mat	5	キャンプマット R値8.93 エアーマット 8cm 自動膨張式		該当なし	
batch3	family-camp-summer-tent	1	TOMOUNT テント 2ルーム TriArc Tunnel Tent V4 4人用		該当なし	https://amzn.to/4wkKoKF
batch3	family-camp-summer-tent	2	FIELDOOR キャンプ4点セット テント+タープ+シート+ポール 4〜6人用		該当なし	https://amzn.to/4fdRTf0
batch3	family-camp-summer-tent	3	RATELWORKS BODEN ボーデン 2ルームテント RWS0111		該当なし	
batch3	family-camp-summer-tent	4	ワンタッチテント 4人用 ファミリー キャノピーテント 300		該当なし	
batch3	family-camp-summer-tent	5	WAQ Alpha TC アルファTC ファミリー用テント WAQ-TCFT1	https://www.amazon.co.jp/dp/B09S5KWBP3	一致	https://amzn.to/4gwyuYV
batch3	sleeping-bag-summer-cospa	1	シュラフ 寝袋 洗える 最大限界温度-15度 封筒型 230T 190T		該当なし	https://amzn.to/3RfnEwa
batch3	sleeping-bag-summer-cospa	2	Bears Rock -6度 封筒型 3.5シーズン ふわ暖 MX-604	https://www.amazon.co.jp/dp/B0B17P4VG1	一致	https://amzn.to/44oAjjp
batch3	sleeping-bag-summer-cospa	3	寝袋 インナーシュラフ 軽量 夏 薄手 インナーシーツ 封筒型		該当なし	https://amzn.to/3R9l3E2
batch3	sleeping-bag-summer-cospa	4	Naturehike 洗える 3.5シーズン 寝袋 封筒型 連結可能	https://www.amazon.co.jp/dp/B08CV8XM26	一致	https://amzn.to/450Akdr
batch3	sleeping-bag-summer-cospa	5	ねぶくろん 230T 1.8kg 封筒型 最大限界温度-15度	https://www.amazon.co.jp/dp/B079YGPQYQ	一致	https://amzn.to/4prUFly
batch3	solo-tent-beginner	1	BUNDOK ソロティピー BDK-75 ワンポールテント 1人用	https://www.amazon.co.jp/dp/B08VN99N8L	一致	https://amzn.to/4fcOsFn
batch3	solo-tent-beginner	2	Bears Rock ハヤブサテント TS-201H 1〜2人用	https://www.amazon.co.jp/dp/B0CZCQJWD9	一致	https://amzn.to/4fd2yGx
batch3	solo-tent-beginner	3	BUNDOK ソロベース TC BDK-79 パップテント	https://www.amazon.co.jp/dp/B07WHGJHBS	一致	https://amzn.to/4vzu3QV
batch3	solo-tent-beginner	4	BUNDOK ソロドーム BDK-08O 1人用	https://www.amazon.co.jp/dp/B0BCD74LZ1	一致	https://amzn.to/4aQTx4M
batch3	solo-tent-beginner	5	TOMOUNT ソロテント NY TENT 20D 1〜2人用	https://www.amazon.co.jp/dp/B0DBDCVPFP	一致	https://amzn.to/4vVbnMq
batch3	group-camp-table	1	ラタン調 ガーデンテーブル 180cm 折り畳み式 防水 長テーブル	https://www.amazon.co.jp/dp/B0FVWNDVZV	要確認	
batch3	group-camp-table	2	FIELDOOR アウトドアテーブル 180cm/240cm 三つ折り アルミ	https://www.amazon.co.jp/dp/B083K4J71H	一致	https://amzn.to/4fd2FBX
batch3	group-camp-table	3	waku fimac ロールトップテーブル 120×70 木目調 アルミ	https://www.amazon.co.jp/dp/B0B49NGCGY	一致	https://amzn.to/4aReqgg
batch3	group-camp-table	4	折りたたみテーブル 折りたたみベンチ 180cm 幅180×奥行70cm KM-F002		該当なし	
batch3	group-camp-table	5	キャプテンスタッグ CSクラシックス ヘキサセンターテーブル 96	https://www.amazon.co.jp/dp/B07BRSY4X1	一致	https://amzn.to/3T1XGN9
batch3	camp-table-folding	1	MERMONT アウトドアテーブル 折りたたみ アルミ 高さ調節 伸縮	https://www.amazon.co.jp/dp/B00WG5TSAK	一致	https://amzn.to/4fAr7P2
batch3	camp-table-folding	2	アウトドアテーブル メッシュ 135×60cm 二つ折り 耐荷重50kg	https://www.amazon.co.jp/dp/B0DGT6V6ZW	要確認	
batch3	camp-table-folding	3	山善 アウトドアテーブル 折りたたみ アルミ 木目 120/180/240cm	https://www.amazon.co.jp/dp/B0CZK4GLZ5	一致	https://amzn.to/4w7ewc8
batch3	camp-table-folding	4	FIELDOOR アウトドアテーブル 折りたたみ ベンチ2脚セット 幅90cm アルミ		該当なし	
batch3	camp-table-folding	5	キャンピングムーン フィールドラック 4個 メッシュ ブラック	https://www.amazon.co.jp/dp/B0DHRT2WHR	一致	https://amzn.to/4ff5mmH
batch3	camp-headlight-beginner	1	ヘッドライト N-FORCE SC-200B 最軽量32g 乾電池式	https://www.amazon.co.jp/dp/B0BYRZLMCM	一致	https://amzn.to/4w7ezVm
batch3	camp-headlight-beginner	2	ヘッドライト 充電式 センサー点灯 SR-01L		該当なし	
batch3	camp-headlight-beginner	3	ヘッドライト 充電式 N-FORCE SC-300R SC-400R	https://www.amazon.co.jp/dp/B0C8T7FK1L	一致	https://amzn.to/4vY81Z1
batch3	camp-headlight-beginner	4	ヘッドライト 6200ルーメン 充電式 高輝度		該当なし	
batch3	camp-headlight-beginner	5	LAD WEATHER ヘッドライト 超軽量42g センサー搭載		該当なし	
batch3	backpack-large	1	tousen 登山リュック 40〜60L 大容量 バックパック 防水		該当なし	
batch3	backpack-large	2	tousen 登山リュック 65L 大容量 防災リュック		該当なし	
batch3	backpack-large	3	HAWK GEAR ホークギア 防水バックパック 80L レインカバー付き	https://www.amazon.co.jp/dp/B06WLP7B8N	一致	https://amzn.to/4gy9Yqp
batch3	backpack-large	4	登山リュック 65L 大容量 防水 軽量 多機能 トレッキング		該当なし	
batch3	backpack-large	5	M-STYLE ミリタリーバッグ 90L 3WAY リュック/ショルダー/ボストン	https://www.amazon.co.jp/dp/B00T47R65W	一致	https://amzn.to/4aT5wPk
batch3	barebones-light	1	ベアボーンズ エジソン ライトスティック LED 充電式	https://www.amazon.co.jp/dp/B0BBV1T6X3	一致	https://amzn.to/4hcZ1KZ
batch3	barebones-light	2	ベアボーンズ レイルロードランタン LED 充電式 日本正規代理店品	https://www.amazon.co.jp/dp/B08P6PVBMJ	一致	https://amzn.to/4aT5zL0
batch3	barebones-light	3	ベアボーンズ ビーコンライト LED 2.0 日本正規代理店品	https://www.amazon.co.jp/dp/B07D2JVK39	一致	https://amzn.to/4gxBnIY
batch3	barebones-light	4	ベアボーンズ ミニ エジソン ランタン LED 日本正規代理店品	https://www.amazon.co.jp/dp/B084HLLQZ3	一致	https://amzn.to/3TjpmgB
